MESA,TOTALMESAS,ELECTORES,EMITIDOS,PORCENTAJE,COLEGIO,COMUNA,CIRCUNSCRIPCION,APRUEBO,RECHAZO
23V,1,344,160,46.51,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,128,32
24V,1,345,170,49.28,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,139,29
25V,1,344,165,47.97,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,124,38
26V,1,342,153,44.74,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,118,34
86,1,341,165,48.39,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,132,33
87,1,334,127,38.02,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,103,24
88,1,336,109,32.44,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,92,16
89,1,332,129,38.86,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,103,26
90,1,341,137,40.18,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,117,17
91,1,344,159,46.22,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,142,17
92,1,339,146,43.07,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,121,24
93,1,335,154,45.97,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,125,28
94,1,343,174,50.73,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,137,37
95,1,339,153,45.13,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,140,13
96,1,340,170,50.0,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,158,12
97,1,342,162,47.37,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,146,16
98,1,342,160,46.78,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,135,23
99,1,340,168,49.41,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,153,14
100,1,335,154,45.97,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,142,11
101,1,339,149,43.95,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,129,19
102,1,341,144,42.23,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,134,9
103,1,338,140,41.42,LICEO PABLO NERUDA,ALTO HOSPICIO,ALTO HOSPICIO,127,13
28M,1,339,168,49.56,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,128,40
29M,1,336,160,47.62,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,126,34
30M,1,345,161,46.67,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,127,34
31M,1,342,166,48.54,LICEO SU SANTIDAD JUAN PABLO SEGUNDO,ALTO HOSPICIO,ALTO HOSPICIO,132,34
